Name,Port,Protocol,Popularity,Description
http,80,tcp,0.484143,World Wide Web HTTP
ipp,631,udp,0.450281,Internet Printing Protocol
snmp,161,udp,0.433467,Simple Net Mgmt Proto
ns,137,udp,0.365163,NETBIOS Name Service
ntp,123,udp,0.330879,Network Time Protocol
dgm,138,udp,0.29783,NETBIOS Datagram Service
m,1434,udp,0.293184,Microsoft-SQL-Monitor
msrpc,135,udp,0.244452,Microsoft RPC services
dhcps,67,udp,0.22801,DHCP/Bootstrap Protocol Server
domain,53,udp,0.213496,Domain Name Server
https,443,tcp,0.208669,secure http (SSL)
ftp,21,tcp,0.197667,File Transfer [Control]
ssn,139,udp,0.193726,NETBIOS Session Service
ssh,22,tcp,0.182286,Secure Shell Login
dhcpc,68,udp,0.140118,DHCP/Bootstrap Protocol Client
route,520,udp,0.139376,router routed -- RIP
upnp,1900,udp,0.136543,Universal PnP
smtp,25,tcp,0.131314,Simple Mail Transfer
ike,4500,udp,0.124467,IKE Nat Traversal negotiation (RFC3947)
syslog,514,udp,0.119804,BSD syslogd(8)
snmptrap,162,udp,0.103346,snmp-trap
tftp,69,udp,0.102835,Trivial File Transfer
zeroconf,5353,udp,0.100166,Mac OS X Bonjour/Zeroconf port
rpcbind,111,udp,0.093988,"portmapper, rpcbind"
server,3389,tcp,0.083904,"Microsoft Remote Display Protocol (aka ms-term-serv, microsoft-rdp) | MS WBT Server"
pop3,110,tcp,0.077142,PostOffice V.3 | Post Office Protocol - Version 3
applix,999,udp,0.07323,Applix ac
netassistant,3283,udp,0.066072,Apple Remote Desktop Net Assistant reporting feature
ds,445,tcp,0.056944,SMB directly over IP
radius,1812,udp,0.053839,RADIUS authentication protocol (RFC 2138)
profile,136,udp,0.051862,PROFILE Naming System
ssn,139,tcp,0.050809,NETBIOS Session Service
imap,143,tcp,0.05042,Interim Mail Access Protocol v2 | Internet Message Access Protocol
domain,53,tcp,0.048463,Domain Name Server
msantipiracy,2222,udp,0.047902,Microsoft Office OS X antipiracy network monitor
msrpc,135,tcp,0.047798,epmap | Microsoft RPC services | DCE endpoint resolution
nfs,2049,udp,0.044531,networked file system
omad,32768,udp,0.044407,OpenMosix Autodiscovery Daemon
sip,5060,udp,0.04435,Session Initiation Protocol (SIP)
proxy,8080,tcp,0.042052,http-alt | Common HTTP proxy/second web server port | HTTP Alternate (see port 80)
blackjack,1025,udp,0.041813,network blackjack
s,1433,udp,0.036821,Microsoft-SQL-Server
vat,3456,udp,0.036607,also VAT default data
http,80,udp,0.035767,World Wide Web HTTP
pptp,1723,tcp,0.032468,Point-to-point tunnelling protocol
rpcbind,111,tcp,0.030034,"sunrpc | portmapper, rpcbind | SUN Remote Procedure Call"
pop3s,995,tcp,0.029921,POP3 protocol over TLS/SSL | pop3 protocol over TLS/SSL (was spop3) | POP3 over TLS protocol
imaps,993,tcp,0.027199,imap4 protocol over TLS/SSL | IMAP over TLS protocol
bakbonenetvault,20031,udp,0.02549,BakBone NetVault primary communications port
rpc,1026,udp,0.024777,Commonly used to send MS Messenger spam
vnc,5900,tcp,0.02356,rfb | Virtual Network Computer display 0 | Remote Framebuffer
radacct,1646,udp,0.023196,radius accounting
radius,1645,udp,0.02318,radius authentication
epmap,593,udp,0.022933,HTTP RPC Ep Map
IIS,1025,tcp,0.022406,"blackjack | IIS, NFS, or listener RFS remote_file_sharing | network blackjack"
ntalk,518,udp,0.022208,(talkd)
serialnumberd,626,udp,0.021473,Mac OS X Server serial number (licensing) daemon
submission,587,tcp,0.019721,Message Submission
xdmcp,177,udp,0.018551,X Display Manager Control Protocol
h323gatestat,1719,udp,0.0185,H.323 Gatestat
svrloc,427,udp,0.01827,Server Location
answerbook,8888,tcp,0.016522,ddi-udp-1 | ddi-tcp-1 | Sun Answerbook HTTP server.  Or gnump3d streaming music server | NewsEDGE server TCP (TCP 1) | NewsEDGE server UDP (UDP 1)
smux,199,tcp,0.015945,SNMP Unix Multiplexer
chargen,19,udp,0.015865,ttytst source Character Generator
discard,9,udp,0.015733,sink null
mux,1029,udp,0.014536,Solid Mux Server
h323q931,1720,tcp,0.014277,h323hostcall | Interactive media | H.323 Call Control Signalling | H.323 Call Control
tacacs,49,udp,0.01402,Login Host Protocol (TACACS)
smtps,465,tcp,0.013888,submissions | igmpv3lite | urd | smtp protocol over TLS/SSL (was ssmtp) | URL Rendesvous Directory for SSM | IGMP over UDP for SSM | URL Rendezvous Directory for SSM | Message Submission over TLS protocol
sec,88,udp,0.013476,Kerberos (v5)
wdbrpc,17185,udp,0.013395,vxWorks WDB remote debugging ONCRPC
h225gatedisc,1718,udp,0.012554,H.225 gatekeeper discovery
afp,548,tcp,0.012395,afpovertcp | AFP over TCP
ident,113,tcp,0.01237,"auth | ident, tap, Authentication Service | Authentication Service"
ns,81,tcp,0.012056,HOSTS2 Name Server
1,6001,tcp,0.01173,X Window server
sccp,2000,udp,0.011697,cisco SCCP (Skinny Client Control Protocol)
mgmt,10000,tcp,0.011692,ndmp | SecureNet Pro Sensor https management server or apple airport admin | Network Data Management Protocol
BackOrifice,31337,udp,0.011469,cDc Back Orifice remote admin tool
shell,514,tcp,0.011078,"syslog | BSD rshd(8) | cmd like exec, but automatic authentication is performed as for login server"
printer,515,udp,0.011022,spooler (lpd)
csp2,2223,udp,0.010902,Rockwell CSP2
